Hanji,POJ,English,Chinese
"hi-nó͘-khih","hi-nó͘-khih","Hinoki cypress.","檜木。源自日語ひのき(hinoki)，日語漢字為「檜」。"
"ho͘-lú-bóng","ho͘-lú-bóng","Hormone.","荷爾蒙。源自日語ホルモン(horumon)。"
"ho͘-té-luh","ho͘-té-luh","Hotel.","飯店、旅社。源自日語ホテル(hoteru)。"
"hài-ià","hài-ià","Hired car.","包租汽車、高級轎車。源自日語ハイヤ(haiya)。"
"há-muh","há-muh","Ham.","洋火腿。源自日語ハム(hamu)。"
"hái-kat-lá","hái-kat-lá","High-collar.","西裝頭。源自日語ハイカラ"
"hú-lo͘h","hú-lo͘h","Bath.","浴桶、風呂、洗澡。源自日語ふろ(furo)，日語漢字為「風呂」。"
"hăi-khé-khá-kuh","hăi-khé-khá-kuh","Tuberculosis.","肺結核。源自日語はいけっかく(haekekkaku)，日語漢字為「肺結核」。"
"hăn-tó͘-luh","hăn-tó͘-luh","Handle.","方向盤。源自日語ハンドル(handoru)。"
"hăng-gó͘","hăng-gó͘","Mess tin.","飯盒。源自日語はんごう(hango͘)，日語漢字為「飯盒」。"
"iá-mih","iá-mih","Black market.","黑市。源自日語やみ(yami)，日語漢字為「闇」。"
"ió-bih","ió-bih","Reserve.","預備。源自日語よび(yobi)，日語漢字為「予備」。"
"iú-lih","iú-lih","Lily.","百合花。源自日語ゆり(yuri)，日語漢字為「百合」。"
"iăn-jín","iăn-jín","Engine.","引擎。源自日語エンジン(enjin)。"
"iŏ-káng","iŏ-káng","Sweet bean jelly.","羊羹。源自日語ようかん(yo͘kan)，日語漢字為「羊羹」。"
"ji-lú-bah","ji-lú-bah","Jitterbug (dance).","吉魯巴。源自日語ジルバ(jiruba)。"
"jiak-kuh","jiak-kuh","Zipper.","拉鍊。源自日語チャック(chakku)。"
"jiàn-bà","jiàn-bà","Jumper.","夾克。源自日語ジャンパー(jampaa)。"
"jió-toh","jió-toh","Superior.","上等、高級。源自日語じょうとう(jo͘to͘)，日語漢字為「上等」。"
"kha-báng","kha-báng","Bag.","皮包、文件箱、手提包。源自日語かばん(kaban)，日語漢字為「鞄」。"
"kha-lá-ó͘-khe","kha-lá-ó͘-khe","Karaoke.","卡拉OK。源自日語カラオケ(karaoke)。"
"kha-mé-lah","kha-mé-lah","Camera.","照相機、開麥拉。源自日語カメラ(kamera)。"
"kha-tián","kha-tián","Curtain.","窗簾。源自日語カーテン(kaaten)。"
"kha-tá-lok-guh","kha-tá-lok-guh","Catalog.","目錄。源自日語カタログ(katarogu)。"
"khe-chiap-puh","khe-chiap-puh","Ketchup.","番茄醬。源自日語ケチャップ(kechappu)。"
"khi-mó͘-chih","khi-mó͘-chih","Feeling.","情緒、奇檬子、心情。源自日語きもち(kimochi)，日語漢字為「氣持ち」。"
"khit-teh","khit-teh","Postage stamp.","郵票。源自日語きって(kitte)，日語漢字為「切手」。"
"khiā-hang","khiā-hang","Leggings.","綁腿。源自日語きゃはん(kyahan)，日語漢字為「脚絆」。"
"khiŭ-khé","khiŭ-khé","Rest.","休息、色情幽會、休憩。源自日語きゅうけい(kyuukei)，日語漢字為「休憩」。"
"khok-puh","khok-puh","Cup.","杯子。源自日語コップ(koppu)。"
"kho͘-lé-lah","kho͘-lé-lah","Cholera.","霍亂。源自日語コレラ(korera)。"
"kho͘-mí-sióng","kho͘-mí-sióng","Commission.","賄賂、回扣。源自日語コミッション(komisshon)。"
"khu-lá-chih","khu-lá-chih","Clutch.","離合器、變速器。源自日語クラッチ(kuratchi)。"
"khu-lì-mù","khu-lì-mù","Cream.","面霜、克林姆、奶油。源自日語クリーム(kuriimu)。"
"khà-chiàng","khà-chiàng","Mom.","母親。源自日語かあちゃん(kaachan)，日語漢字為「母ちゃん」。"
"khà-sàng","khà-sàng","Mother.","母親。源自日語かあさん(kaasan)，日語漢字為「母さん」。"
"khí-lo͘h","khí-lo͘h","Kilometer.","公里。源自日語キロ(kiro)。"
"khòng-buh","khòng-buh","Kombu (kelp).","海帶、昆布。源自日語こんぶ(kombu)，日語漢字為「昆布」。"
"khò͘-tò͘","khò͘-tò͘","Coat.","大衣。源自日語コート(ko͘to)。"
"khăn-jió͘","khăn-jió͘","To pay the bill.","付款、算帳、結帳。源自日語かんじょう(kanjo͘)，日語漢字為「勘定」。"
"khăng-páng","khăng-páng","Signboard.","看板、招牌。源自日語かんばん(kampan)，日語漢字為「看板」。"
"khōng-ku-lí","khōng-ku-lí","Concrete.","控固力、混凝土。源自日語コンクリート(konkuriito)。"
"la-jí-o͘h","la-jí-o͘h","Radio.","收音機。源自日語ラジオ(rajio)。"
"la-kiat-to͘h","la-kiat-to͘h","Racket.","球拍。源自日語ラケット(raketto)。"
"la-mú-neh","la-mú-neh","A type of soda.","彈珠汽水。源自日語ラムネ(ramune)。"
"li-á-khah","li-á-khah","A rear car (hand-pulled cart).","自行車後面的兩輪拖車、台車、臺車。源自日語リヤカー(riyakaa)。"
"liăn-táng","liăn-táng","Coal briquette.","煤球。源自日語れんたん(rentan)，日語漢字為「練炭」。"
"lo͘-lài-bà","lo͘-lài-bà","Screwdriver.","螺絲起子。源自日語ドライバー(doraibaa)。"
"lài-tah","lài-tah","Lighter.","打火機。源自日語ライター(raitaa)。"
"lè-sìr","lè-sìr","Lace.","蕾絲花邊。源自日語レース(reesu)。"
"lê-bóng","lê-bóng","Lemon.","檸檬。源自日語レモン(remon)。"
"lìn-gò͘","lìn-gò͘","Apple.","蘋果。源自日語りんご(rengo)，日語漢字為「林檎」。"
"lò͘-suh","lò͘-suh","Loin (meat).","里脊肉。源自日語ロース(ro͘su)。"
"ló͘-lí-á","ló͘-lí-á","Rubber slippers.","橡膠拖鞋。源自日語ぞうり(zo͘ri)，日語漢字為「草履」。"
"lăi-jiò͘-bù","lăi-jiò͘-bù","Alright.","安全、放心、沒問題。源自日語だいじょうぶ(daijo͘bu)，日語漢字為「大丈夫」。"
"lăi-lìn-gù","lăi-lìn-gù","Running shirt.","無袖背心。源自日語ランニング(rannengu)。"
"lĭn-jín","lĭn-jín","Carrot.","紅蘿蔔。源自日語にんじん(ninjin)，日語漢字為「人参」。"
"ma-lá-lí-á","ma-lá-lí-á","Malaria.","瘧疾。源自日語マラリヤ(mararia)。"
"ma-lá-sóng","ma-lá-sóng","Marathon.","馬拉松。源自日語マラソン(marason)。"
"ma-sà-chì","ma-sà-chì","Massage.","馬殺雞、按摩、色情按摩。源自日語マッサージ(massaaji)。"
"me-lí-á","me-lí-á","Plywood.","三夾板。源自日語ベニヤ(beniya)。"
"me-lóng","me-lóng","Melon.","香瓜。源自日語メロン(meron)。"
"mi-sín","mi-sín","Sewing machine.","縫紉機、裁縫車。源自日語ミシン(mishin)。"
"mài-kù","mài-kù","Microphone.","麥克風。源自日語マイク(maeku)。"
"mè-sì","mè-sì","Business card.","名片。源自日語めいし(meishi)，日語漢字為「名刺」。"
"mí-so͘h","mí-so͘h","Miso.","味噌。源自日語みそ(miso)，日語漢字為「味噌」。"
"mò͘-tà","mò͘-tà","Motor.","馬達。源自日語モーター(mo͘taa)。"
"ne-kut-tái","ne-kut-tái","Necktie.","領帶。源自日語ネクタイ(nekutai)。"
"nè-chiàng","nè-chiàng","Waitress.","女中、飯店或旅館的女服務員。源自日語ねえちゃん(neechan)，日語漢字為「姉ちゃん」。"
"nó͘-lih","nó͘-lih","Nori (seaweed).","海苔。源自日語のり(nori)，日語漢字為「海苔」。"
"năi-lóng","năi-lóng","Nylon.","耐龍、尼龍。源自日語ナイロン(nairon)。"
"nŏ͘-sín","nŏ͘-sín","Brain concussion.","腦筋不正常。源自日語のうしんとう(no͘sinto͘)，日語漢字為「腦震盪」。"
"oa-khá-mó͘-to͘h","oa-khá-mó͘-to͘h","A brand of health supplement.","一種保健藥品。源自日語わかもと(wakamoto)。"
"oa-lù-chuh","oa-lù-chuh","Waltz (dance).","華爾茲。源自日語ワルツ(waruchu)。"
"oa-sá-bih","oa-sá-bih","Wasabi.","芥末、山葵醬。源自日語わさび(wasabi)，日語漢字為「山葵」。"
"oăi-siat-chuh","oăi-siat-chuh","White shirt.","白襯衫。源自日語ワイシャツ(waishachu)。"
"o͘-bá-sáng","o͘-bá-sáng","Auntie.","對不特定年長女性的稱呼、歐巴桑。源自日語おばさん(obasan)。"
"o͘-jí-sáng","o͘-jí-sáng","Uncle.","歐吉桑、對不特定年長男性的稱呼。源自日語おじさん(ojisan)，日語漢字為「小父さん」。"
"o͘-lián","o͘-lián","Oden (a Japanese dish).","黑輪。源自日語おでん(oden)，日語漢字為「お田」。"
"o͘-lín-gió͘","o͘-lín-gió͘","Doll.","洋娃娃、人偶。源自日語おにんぎょう(onengyo͘)，日語漢字為「人形、お人形」。"
"o͘-nè-sàng","o͘-nè-sàng","Elder sister.","大姐。源自日語おねえさん(oneesan)，日語漢字為「お姉さん」。"
"o͘-tó͘-bái","o͘-tó͘-bái","Motorcycle.","摩托車、機車。源自日語オートバイ(o͘tobai)。"
"pha-chìn-kò͘","pha-chìn-kò͘","Pachinko.","柏青哥。源自日語パチンコ(pachinko)。"
"phi-á-no͘h","phi-á-no͘h","Piano.","鋼琴。源自日語ピアノ(piano)。"
"phiàn-chih","phiàn-chih","Pliers.","鐵鉗。源自日語ペンチ(penchi)。"
"phu-ló͘-phé-lá","phu-ló͘-phé-lá","Propeller.","螺旋槳。源自日語プロペラ(puropera)。"
"phàng-kù","phàng-kù","Puncture.","爆胎。源自日語パンク(panku)。"
"pháng","pháng","Bread.","麵包。源自日語パン(pan)。"
"phòng-phù","phòng-phù","Pump.","幫浦、手動抽水機。源自日語ポンプ(pompu)。"
"phă-siàn-tò͘","phă-siàn-tò͘","Percent.","百分率、百分比。源自日語パーセント(paasento)。"
"phĭn-phóng","phĭn-phóng","Ping-pong.","桌球、乒乓球。源自日語ピンポン(pinpon)。"
"pu-lù-sù","pu-lù-sù","Blues (music).","布魯司。源自日語ブルース(buruusu)。"
"sa-khá-lí-bah","sa-khá-lí-bah","A bustling place.","鬧市、沙卡哩巴。源自日語さかりば(sakariba)，日語漢字為「盛リ場」。"
"sa-khú-lah","sa-khú-lah","Cherry blossom.","櫻花。源自日語さくら(sakura)，日語漢字為「櫻」。"
"sa-sí-mih","sa-sí-mih","Sashimi.","生魚片。源自日語さしみ(sashimi)，日語漢字為「刺身」。"
"sak-khuh","sak-khuh","Condom.","保險套。源自日語サック(sakku)。"
"se-bí-lo͘h","se-bí-lo͘h","A suit (Western-style).","西裝。源自日語せびろ(sebiro)，日語漢字為「背広」。"
"si-á-geh","si-á-geh","Finishing touch.","潤飾、修飾。源自日語しあげ(shiage)，日語漢字為「仕上げ」。"
"sia-sín","sia-sín","Photograph.","照片。源自日語しゃしん(shashin)，日語漢字為「寫真」。"
"siat-chuh","siat-chuh","Shirt.","襯衫。源自日語シャツ(shachu)。"
"siat-to͘h","siat-to͘h","To set (hair).","做頭髮、造型。源自日語セット(setto)。"
"sio̍k-pháng","sio̍k-pháng","Toast.","吐司、白麵包。源自日語しょくパン(shokupan)，日語漢字為「食パン」。"
"sir-bé-lí-lái","sir-bé-lí-lái","Slide (playground).","溜滑梯。源自日語すベりだい(suberidai)，日語漢字為「滑り台」。"
"sir-tián-lè-sù","sir-tián-lè-sù","Stainless steel.","不鏽鋼。源自日語ステンレス(sutenresu)。"
"si̍p-pán-ná","si̍p-pán-ná","Spanner.","板手。源自日語スパナ(supana)。"
"su-khù-tà","su-khù-tà","Scooter.","速可達、50cc輕型機車。源自日語スクーター(sukuutaa)。"
"su-lit-pah","su-lit-pah","Slippers.","拖鞋。源自日語スリッパ(surippa)。"
"su-tó-lip-puh","su-tó-lip-puh","Striptease.","脫衣舞。源自日語ストリップ(sutorippu)。"
"sài-sù","sài-sù","Size.","尺寸。源自日語サイズ(saizu)。"
"sàn-bah","sàn-bah","Pacific saury (fish).","秋刀魚。源自日語さんま(sanma)，日語漢字為「秋刀魚」。"
"sè-hù","sè-hù","Safe (in baseball).","安全。源自日語セーフ(seehu)。"
"sò͘-sù","sò͘-sù","Sauce.","烏醋、醬料。源自日語ソース(so͘su)。"
"sú-sih","sú-sih","Sushi.","壽司。源自日語すし(sushi)，日語漢字為「寿司」。"
"să-bì-sù","să-bì-sù","Service.","優惠、額外優待。源自日語サービス(saabisu)。"
"săm-phú-luh","săm-phú-luh","Sample.","樣本、樣品。源自日語サンプル(sampuru)。"
"tha-khú-sih","tha-khú-sih","Taxi.","計程車。源自日語タクシー(takushii)。"
"tha-khú-áng","tha-khú-áng","Pickled radish.","黃蘿蔔、黃色的醃漬蘿蔔。源自日語たくあん(takoan)，日語漢字為「沢庵」。"
"tha-thá-mih","tha-thá-mih","Tatami mat.","疊蓆、塌塌米。源自日語たたみ(tatami)，日語漢字為「疊」。"
"thak-kho͘h","thak-kho͘h","Octopus.","章魚。源自日語たこ(tako)，日語漢字為「蛸、章魚」。"
"that-bí","that-bí","A type of work shoe.","一種工作鞋。源自日語たび(tabi)，日語漢字為「足袋」。"
"the-ní-suh","the-ní-suh","Tennis.","網球。源自日語テニス(tenisu)。"
"thiăn-pú-lah","thiăn-pú-lah","Tempura.","甜不辣。源自日語テンプラ(tempura)，日語漢字為「天麩羅」。"
"tho͘-lá-khuh","tho͘-lá-khuh","Truck.","卡車。源自日語トラック(torakku)。"
"tho͘-má-to͘h","tho͘-má-to͘h","Tomato.","番茄、西紅柿。源自日語トマト(tomato)。"
"thài-ià","thài-ià","Tire.","輪胎。源自日語タイヤ(taiya)。"
"thài-lù","thài-lù","Tile.","瓷磚。源自日語タイル(tairu)。"
"thàn-gò͘","thàn-gò͘","Tango (dance).","探戈。源自日語タンゴ(tango)。"
"thàng-sù","thàng-sù","Wardrobe.","衣櫥。源自日語たんす(tansu)，日語漢字為「簞笥」。"
"tò͘-sàng","tò͘-sàng","Father.","多桑、父親。源自日語とうさん(to͘san)，日語漢字為「父さん」。"
"u-lóng","u-lóng","Udon noodles.","烏龍麵。源自日語うどん(udon)，日語漢字為「饂飩」。"
"àn-nāi","àn-nāi","To guide.","招待、引導。源自日語あんない(annai)，日語漢字為「案內」。"
"àu-chuh","àu-chuh","Out (in baseball).","出局。源自日語アウト(auto)。"
"á-geh","á-geh","Fried tofu.","阿給、油豆腐。源自日語あげ(age)，日語漢字為「揚げ」。"
"ò͘-bà","ò͘-bà","Overcoat.","長大衣、長外套。源自日語オーバーコート"
"ùn-chiàng","ùn-chiàng","Driver.","司機、運將。源自日語うんちゃん(unchan)，日語漢字為「運ちゃん」。"
"ăi-sat-chuh","ăi-sat-chuh","Greeting.","打招呼、問候。源自日語あいさつ(aisachu)，日語漢字為「挨拶」。"
"ăi-sīr-khu-lìn-mù","ăi-sīr-khu-lìn-mù","Ice cream.","冰淇淋。源自日語アイスクリーム(aisukuriimu)。"
"一下","chi̍t-ē","For a moment.","動詞後綴。表示極短的時間或是短時間的動作。"
"一世人","chi̍t-sì-lâng","A lifetime.","一輩子。"
"一來","it--lâi","Firstly.","首先。"
"一刀兩斷","it-to-lióng-toān","To make a clean break.","一刀斬成兩段，比喻斷絕關係。"
"一半","chi̍t-pòaⁿ","One half.","二分之一。"
"一半个仔","chi̍t-pòaⁿ-ê-á","A few.","幾個、一兩個、少數幾個。"
"一半日仔","chi̍t-pòaⁿ-ji̍t-á/chi̍t-pòaⁿ-li̍t-á","A day or two.","一兩天。"
"一四界","chi̍t-sì-kè/chi̍t-sì-kòe","Everywhere.","遍地、到處。"
"一垺屎","chi̍t-pû-sái","A pile of feces.","一坨屎、一坨大便。"
"一定","it-tēng","Certainly.","必定、必然。"
"一家伙仔","chi̍t-ke-hóe-á/chi̍t-ke-hé-á","The whole family.","一家子。全家人、同一家人。"
"一寡","--chi̍t-kóa","Some.","一些、少許，也可以單說「寡」(--kóa)。"
"一寡仔","chi̍t-kóa-á","A tiny bit.","一點點、一些些。"
"一對時","chi̍t tùi-sî","One day and night (24 hours).","一晝夜、二十四小時。"
"一屑仔","chi̍t-sut-á","A tiny bit.","一點點。形容體積很小或數量很少。"
"一律","it-lu̍t","All the same.","全部都一樣。"
"一日到暗","chi̍t-ji̍t-kàu-àm/chi̍t-li̍t-kàu-àm","All day long.","一天到晚、從早到晚，整天。"
"一旦","it-tàn","If one day.","假使有一天。"
"一月日","chi̍t goe̍h-ji̍t/chi̍t ge̍h-li̍t","One month.","一個月。"
"一概","it-khài","Entirely.","一律、完全。"
"一生","it-seng","A lifetime.","畢生、一輩子。"
"一甲子","chi̍t kah-chí","Sixty years.","六十年。由十二天干數和十地支數配合而形成的傳統計算年歲的方法，以六十年為一個輪迴。"
"一百空一","chi̍t-pah khòng-it","One hundred and one.","一百零一。"
"一目𥍉仔","chi̍t-ba̍k-nih-á","In an instant.","一瞬間、一眨眼。指很短暫的時間。"
"一直","it-ti̍t","Straight ahead.","朝同一個方向直行而去。"
"一睏仔","chi̍t-khùn-á","A little while.","一陣子、一會兒。"
"一礐屎","chi̍t-ha̍k-sái","A cesspool of feces.","一糞坑的大便。"
"一粒一","it-lia̍p-it","Top-notch.","最好的、第一流的。"
"一致","it-tì","Identical.","趨向相同。"
"一般","it-poaⁿ","General.","普遍性的、平常的。"
"一觸久仔","chi̍t-tak-kú-á","A moment.","一會兒、一下子。"
"一路","chi̍t-lō͘","Along the way.","沿途、路上。"
"一霎仔久","chi̍t-tiap-á-kú","In a flash.","一瞬間、一下子。形容很短的時間。"
"一面","chi̍t-bīn","One-sided.","片面的，單方面的。"
"一點仔","chi̍t-tiám-á","A tiny bit.","一點兒、一 點點。形容數量極少。"
"七夕","chhit-sia̍h","The 7th day of the 7th lunar month.","農曆七月初七夜晚。相傳天上的牛郎、織女會在當晚相會。對臺灣人來說，七月初七是「七娘媽生」(Chhit-niû-má-seⁿ)，臺南還有「做十六歲」(chò cha̍p-la̍k hòe)的習俗。"
"七娘媽","Chhit-niû-má","A goddess who protects children.","註生娘娘或是織女。女性神明，生日為農曆七月初七，當天會用油飯、花朵、胭脂水粉祭祀。"
"七娘媽生","Chhit-niû-má-seⁿ/Chhit-niû-má-siⁿ","The 7th day of the 7th lunar month (goddess's birthday).","農曆七月初七。七星娘娘誕辰。「七娘媽」就是七星娘娘，傳說是孩童的保護神。以前農業社會醫藥不發達，孩子常夭折或生病，所以人們會祈求「七娘媽」保佑小孩平安長大，因此等到孩童十六歲(舊時十六歲即成年)七月初七當天，便舉行祭祀以酬謝「七娘媽」。"
"七孔","chhit-khóng","The seven facial orifices.","七竅。指人臉部的七個孔穴，包括兩眼、兩耳、兩鼻孔和嘴巴。"
"七字仔","chhit-jī-á/chhit-lī-á","A seven-character verse.","七字調。歌仔戲使用率非常高的一種調，七個字為一句，每段有四句。"
"七早八早","chhit-chá-peh-chá/chhit-chá-poeh-chá","Very early in the morning.","一大清早。"
"七星","chhit-chheⁿ/chhit-chhiⁿ","The Big Dipper.","北斗星、北斗七星。星座名。由七顆星組合、排列在北方天空的星象，形狀像斗杓。是中國數術、宗教儀式中重要的星象，在西方星象學上屬於大熊星座。"
"七爺","Chhit-iâ","Seventh Lord (a deity).","神明的名稱。名字為謝必安，身材高大，和八爺范無救為好友，因為守信守義而死，死後被封入神界，是城隍爺出巡時的重要配祀神明。"
"七老八老","chhit-lāu-peh-lāu/chhit-lāu-poeh-lāu","Very old.","七老八十。形容年紀很老。"
"丈人","tiūⁿ-lâng","Father-in-law.","岳父。稱謂。男子稱妻子的父親。"
"丈人公","tiūⁿ-lâng-kong","Wife's grandfather.","稱謂。男性稱呼妻子的爺爺或外公。"
"丈人媽","tiūⁿ-lâng-má","Wife's grandmother.","稱謂。男性稱呼妻子的奶奶或外婆。"
"丈人爸","tiūⁿ-lâng-pâ","Father-in-law.","岳父。稱謂，男性稱呼妻子的父親。"
"丈公","tiūⁿ-kong","Husband of a grandaunt.","姑公、姨公。稱謂。稱呼姑婆或姨婆的先生。"
"丈姆","tiūⁿ-ḿ","Mother-in-law.","丈母娘、岳母。稱謂。男子稱妻子的母親。"
"丈姆婆","tiūⁿ-ḿ-pô","Mother-in-law.","丈母娘、岳母。稱謂。男子稱妻子的母親。"
"三七仔","sam-chhit-á","Pimp.","皮條客。為男女雙方媒介色情，拉攏不正當關係的牽合者。因為與妓女三七分帳，才有此稱呼。"
"三不五時","sam-put-gō͘-sî","Often.","不時、經常。"
"三八","sam-pat","Silly.","傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。"
"三八氣","sam-pat-khùi","Silliness.","傻氣、不正經。形容女性有點傻氣、粗野或言行舉止違悖常理、不正經。"
"三太子","Sam-thài-chú","The Third Prince (a deity).","即李哪吒，是封神榜中的人物之一。民間信仰中又稱為「三太子爺」、「中壇元帥」等，道教將其奉為五營神兵神將的統帥之一，道士施法時皆會請哪吒相助。"
"三層","sam-chân","Pork belly.","五花肉。指肥瘦夾雜的豬肉。"
"三層肉","sam-chân-bah","Pork belly.","五花肉。指肥瘦夾雜的豬肉。"
"三山國王","Sam-san-kok-ông","Three Mountain Kings (deities).","在臺灣各地都有祭祀的廟宇，香火鼎盛，是客家族群和潮州人的守護神。"
"三心兩意","sam-sim-lióng-ì","Indecisive.","形容猶豫不決，意志不堅。"
"三思","sàm-su","To think thrice.","謹慎、仔細的考慮。"
"三文魚","sam-bûn-hî/sam-bûn-hû","Salmon.","指鮭魚。過去常用來製成罐頭。借自英語salmon。"
"三更","saⁿ-keⁿ/saⁿ-kiⁿ","The third watch of the night (11 PM - 1 AM).","子時、中夜。指夜間十一時至隔天凌晨一時。"
"三更半暝","saⁿ-keⁿ-pòaⁿ-mê/saⁿ-kiⁿ-pòaⁿ-mî","In the middle of the night.","三更半夜；深夜。"
"三牲","sam-seng","Three kinds of sacrificial animals.","本指牛、羊、豬等三種祭品。今則多指雞、魚、豬等三種祭品。"
"三界公","Sam-kài-kong","The Three Great Emperor-Officials (deities).","三官大帝、三界爺。道教中地位僅次於玉皇大帝的天、地、水三官，分別掌管賜福、赦罪、解厄。"
"三界娘仔","sam-kài-niû-á","A type of small fish.","將魚、食蚊魚。魚名。是臺灣瀕臨絕種魚類之一，類似大肚魚，大多生長在清水溝及稻田內，可以食用。"
"三絃","sam-hiân","A three-stringed musical instrument.","樂器名。有三根絃的彈撥樂器，音色非常清脆，分為大三絃和小三絃，構造都相同，是說唱音樂和各種地方戲曲中的重要樂器。"
"三線路","sam-sòaⁿ-lō͘","A three-lane road.","日治時期將臺北府城拆除，興建由安全島分隔成3個分隔道的道路，約如今日之中山南路、愛國西路、中華路、忠孝西路。也指由樹木安全島分隔成的三線大道。"
"三肢手","saⁿ-ki-chhiú","Pickpocket.","扒手、三隻手。專門在公共場所偷取人家財物的小偷。"
"三角","saⁿ-kak","Triangle.","三角形。"
"三角窗","saⁿ-kak-thang","A corner house.","位於路口轉角處的房子。"
"三角褲","saⁿ-kak-khò͘","Briefs (underwear).","一種三角樣式的貼身內褲。"
"三跤貓","saⁿ-kha-niau","A jack of all trades, master of none.","三腳貓。形容技藝不精、不中用的人。"
"三跤馬","saⁿ-kha-bé","Tripod.","三腳架、三角架。用來安放、架設照相機及測量儀器的器具。有三個支柱的架子。"
"三輪車","saⁿ-lián-chhia","Tricycle.","車子的一種，前為一輪，後為兩輪的車子，可用來作交通工具，或是小孩的遊戲車。"
"三長兩短","saⁿ-tn̂g-nn̄g-té","Unexpected misfortune (often death).","指意外不測、變故，多指死亡。"
"三除四扣","saⁿ-tû-sì-khàu","With many deductions.","東扣西扣。指扣除的項目很多。"
"三頓","saⁿ tǹg","Three meals.","三餐。"
"上久","siōng-kú","The longest.","最久。"
"上任","chiūⁿ-jīm/chiūⁿ-līm","To take office.","就職。擔任職務。"
"上元","Siōng-goân","The Lantern Festival.","元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。"
"上元暝","Siōng-goân-mê/Siōng-goân-mî","The Lantern Festival night.","元宵節、上元節。我國傳統民俗節日之一。農曆正月十五日為天官大帝誕辰，清晨會祭拜三界公。"
"上加","siōng-ke","At most.","最多、頂多。"
"上北","chiūⁿ-pak","To go north.","北上。臺灣地理的觀念上，以北為上，南為下，所以向北出發即是「上北」。"
"上午","siōng-ngó͘","Morning.","清晨到中午之間。"
